Date;24363 - Central Bank Economic Activity Index - Index
01/2023;95.34045
02/2023;98.66432
03/2023;110.74890
04/2023;103.93825
05/2023;102.77755
06/2023;102.18912
07/2023;105.39607
08/2023;106.08707
09/2023;101.78181
10/2023;101.95461
11/2023;101.62017
12/2023;101.61385
01/2024;99.34698
02/2024;102.23245
03/2024;109.72876
04/2024;109.27855
05/2024;104.68456
06/2024;105.76178
07/2024;111.60656
08/2024;110.09329
09/2024;107.08765
10/2024;109.19097
11/2024;105.40349
12/2024;104.08854
01/2025;102.84340
02/2025;106.89981
03/2025;114.14379
04/2025;112.54575
05/2025;108.51998
06/2025;107.19814
07/2025;113.16809
08/2025;110.42518
09/2025;109.44199
10/2025;109.61024
Source;BCB-Depec
