Date;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.
01/2023;0.53
02/2023;0.84
03/2023;0.71
04/2023;0.61
05/2023;0.23
06/2023;-0.08
07/2023;0.12
08/2023;0.23
09/2023;0.26
10/2023;0.24
11/2023;0.28
12/2023;0.56
01/2024;0.42
02/2024;0.83
03/2024;0.16
04/2024;0.38
05/2024;0.46
06/2024;0.21
07/2024;0.38
08/2024;-0.02
09/2024;0.44
10/2024;0.56
11/2024;0.39
12/2024;0.52
01/2025;0.16
02/2025;1.31
03/2025;0.56
04/2025;0.43
05/2025;0.26
06/2025;0.24
07/2025;0.26
08/2025;-0.11
09/2025;0.48
10/2025;0.09
11/2025;0.18
Source;IBGE
