"Tabela 8880 - Índice e variação da receita nominal e do volume de vendas no comércio varejista (2022 = 100)"
"Nível","Unidade da Federação","Variável x Tipos de índice x Mês"
"Nível","Unidade da Federação","PMC - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)"
"Nível","Unidade da Federação","Índice de receita nominal de vendas no comércio varejista"
"Nível","Unidade da Federação","janeiro 2023","fevereiro 2023","março 2023","abril 2023","maio 2023","junho 2023","julho 2023","agosto 2023","setembro 2023","outubro 2023","novembro 2023","dezembro 2023","janeiro 2024","fevereiro 2024","março 2024","abril 2024","maio 2024","junho 2024","julho 2024","agosto 2024","setembro 2024","outubro 2024","novembro 2024","dezembro 2024","janeiro 2025","fevereiro 2025","março 2025","abril 2025","maio 2025","junho 2025","julho 2025","agosto 2025","setembro 2025","outubro 2025"
"UF","Rondônia","10.1","6.6","6.0","4.5","3.1","2.2","1.9","1.6","1.9","1.9","2.3","2.3","5.6","5.8","5.3","5.8","7.0","7.9","8.4","8.5","8.0","8.3","8.7","8.0","4.5","8.0","8.9","10.2","10.4","10.0","9.4","8.6","8.5","8.6"
"UF","Acre","14.1","13.1","12.3","10.6","9.9","10.1","10.0","9.6","9.2","8.7","8.6","8.6","11.1","11.6","10.9","11.9","11.9","11.2","10.9","10.7","10.6","10.7","11.1","10.8","8.5","8.3","8.5","8.5","8.8","8.6","8.4","8.4","8.2","7.9"
"UF","Amazonas","5.7","5.1","6.8","6.1","5.2","4.8","4.6","4.5","4.6","4.2","4.4","4.6","5.7","6.3","6.1","5.9","6.7","7.1","7.5","7.7","8.0","8.2","8.7","8.3","8.2","11.0","8.3","8.1","7.6","7.4","7.0","6.7","6.3","5.9"
"UF","Roraima","13.6","13.4","12.3","11.5","9.3","7.7","7.0","5.9","5.2","4.2","3.8","4.3","4.7","3.5","3.5","4.8","5.1","5.6","5.7","6.3","7.0","8.6","9.7","9.7","0.8","1.8","2.1","1.9","3.1","3.8","4.7","4.6","4.1","3.1"
"UF","Pará","6.0","5.1","4.9","4.4","4.0","3.5","3.2","2.9","3.0","2.9","3.0","3.1","7.5","11.5","10.1","8.4","8.2","8.0","7.8","8.1","8.0","8.5","8.7","8.4","7.9","5.1","5.2","7.0","7.6","7.4","7.4","7.1","6.7","6.4"
"UF","Amapá","12.4","9.1","8.9","7.4","5.7","4.2","3.2","2.2","1.7","0.2","0.3","1.5","14.9","16.8","16.4","18.8","21.6","23.1","24.0","24.6","23.8","23.7","23.7","21.5","21.8","20.0","19.0","17.9","16.6","15.2","15.3","14.3","14.5","14.6"
"UF","Tocantins","19.5","19.9","19.6","18.4","18.3","17.0","16.2","15.5","15.0","15.0","14.5","14.3","8.3","9.0","8.8","9.8","10.2","10.5","12.3","13.2","13.0","13.0","13.0","12.6","13.9","12.1","9.4","8.6","6.7","5.3","3.2","2.3","2.4","2.5"
"UF","Maranhão","20.7","18.3","16.2","14.2","13.5","12.2","11.3","10.4","10.3","10.1","10.1","10.0","5.5","8.6","9.0","8.5","9.5","9.7","10.0","10.2","9.7","9.7","9.8","9.1","7.3","8.9","7.9","8.6","7.8","7.5","7.3","7.6","7.5","7.2"
"UF","Piauí","13.1","10.1","9.4","7.1","5.0","3.4","2.9","2.4","2.3","2.2","1.9","2.2","5.3","7.6","5.7","6.9","8.1","8.6","9.0","9.1","9.4","10.0","10.3","10.1","7.5","7.7","8.9","9.1","9.0","7.9","7.1","6.2","5.4","4.8"
"UF","Ceará","18.5","16.0","15.7","13.6","12.3","11.9","12.1","11.9","12.4","12.4","12.3","12.1","10.0","11.3","11.2","11.1","12.0","11.9","11.4","11.7","11.2","11.5","11.7","11.5","9.0","9.8","9.0","9.5","9.1","8.7","8.5","8.3","8.5","8.5"
