"Tabela 8888 - Produção Física Industrial, por seções e atividades industriais"
"Variável - PIMPF - Número-índice (2022=100) (Número-índice)"
"Brasil e Unidade da Federação","Mês x Seções e atividades industriais (CNAE 2.0)"
"Brasil e Unidade da Federação","novembro 2023","dezembro 2023","janeiro 2024","fevereiro 2024","março 2024","abril 2024","maio 2024","junho 2024","julho 2024","agosto 2024","setembro 2024","outubro 2024","novembro 2024","dezembro 2024","janeiro 2025","fevereiro 2025","março 2025","abril 2025","maio 2025","junho 2025","julho 2025","agosto 2025","setembro 2025","outubro 2025"
"Brasil e Unidade da Federação","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral","1 Indústria geral"
"Brasil","102.82135","92.73326","93.75190","92.36098","96.50021","99.72287","103.50713","105.19257","111.98145","113.82899","109.74694","113.54651","104.59396","93.99209","94.99719","93.48178","99.89167","99.22399","107.10348","103.87997","112.27547","112.98400","111.99035","112.99792"
"Amazonas","90.73657","81.43197","108.48008","116.42179","110.44288","105.65336","108.56160","95.42073","106.84573","115.65354","103.70770","104.51934","103.43493","90.67061","107.16423","105.47660","113.01144","109.81669","110.60151","101.94558","106.97547","104.87459","112.45606","117.55576"
"Pará","109.88255","121.25128","94.49542","84.33036","93.34662","76.95163","106.21857","122.79877","126.89663","126.11542","119.27537","131.53974","129.46473","124.81024","95.50533","88.66877","101.81997","97.92463","115.05258","119.01734","121.55479","133.27502","124.12260","126.34938"
"Maranhão","104.64160","109.34443","104.05595","92.16003","95.11831","89.60124","97.36681","97.76882","98.64043","109.72545","104.26616","99.26527","99.66251","98.67058","92.27367","86.44691","85.14082","89.37485","96.13753","92.36406","97.80511","97.01000","98.04874","99.26033"
"Ceará","104.69945","94.89568","97.06278","95.19236","97.51150","95.34578","96.76818","99.48281","104.72208","115.41603","105.76473","114.84141","110.17322","87.12420","97.15019","94.99507","95.58250","90.49232","100.93916","99.33574","104.72194","109.05076","110.76413","115.28125"
"Rio Grande do Norte","102.13001","137.31577","139.15335","138.86844","127.38473","116.00860","118.51924","135.15076","140.90945","103.27831","104.14998","114.58258","112.66475","108.32121","117.97614","104.62754","103.01215","101.04728","99.30616","106.16928","113.97084","106.68117","123.97413","103.74670"
"Pernambuco","98.33416","100.86036","102.06580","100.07210","98.37195","105.21619","107.70206","97.41457","110.22429","111.25085","108.22042","116.96178","111.75127","111.01864","83.56686","78.46391","76.28280","101.24865","103.66443","104.87906","115.17033","108.47749","113.38950","122.57139"
"Bahia","100.54942","95.38504","98.00419","93.47422","100.68108","93.62142","107.67233","99.04137","104.20015","104.08031","101.46873","107.20718","99.22176","99.58648","102.88430","92.52368","105.02954","97.22362","99.19138","99.22359","103.90433","107.86701","103.02266","108.52763"
"Minas Gerais","103.16562","97.70668","95.20522","93.96762","100.09878","102.19022","106.70275","109.07454","117.95538","120.99979","114.32696","114.07718","103.50905","96.46987","95.01654","93.55190","102.20598","103.24366","112.28588","112.21283","116.92669","115.34668","114.70282","117.40813"
"Espírito Santo","110.24111","118.75665","112.65433","110.02221","109.83220","113.81634","103.83468","100.56681","113.83359","115.79258","115.55459","110.68657","97.04511","107.88889","102.54148","96.91911","114.86857","108.48174","128.92738","118.53928","129.26632","133.56382","137.81161","130.89422"
"Rio de Janeiro","115.31064","107.60691","108.86751","103.09656","107.08881","103.31014","104.67022","105.20968","107.42139","110.94933","107.21261","108.63437","105.73600","102.13442","106.66025","99.50060","110.74909","106.61413","112.44222","112.45565","118.77986","117.68668","111.86117","118.91097"
"São Paulo","101.96365","85.25396","87.01329","87.28988","91.65273","99.15492","105.79403","109.91660","112.01314","115.02564","111.54809","113.44725","99.42708","83.20026","87.61312","88.57158","93.76255","94.26049","104.84819","100.55502","110.85718","112.07679","111.32955","108.22805"
"Paraná","107.64933","96.66681","99.03697","97.67113","92.07007","103.94723","105.03588","107.09721","115.93912","116.00530","111.28452","119.01076","110.05219","99.38797","100.01837","102.75036","104.87242","103.50125","108.86287","104.22986","114.66062","114.26416","109.38008","114.17546"
"Santa Catarina","103.28325","88.19311","95.58488","99.04624","101.18538","106.69906","107.27699","103.30313","113.80148","113.71694","109.71238","119.00573","110.91243","93.06784","102.56683","104.20653","109.39036","105.79617","110.71592","105.67998","116.64882","110.67941","114.08882","119.77836"
"Rio Grande do Sul","95.42933","81.22162","81.93763","91.65449","97.46482","103.70707","79.57630","98.14371","107.07311","104.90787","97.61971","105.75651","96.37859","84.09832","88.99171","88.72370","95.64514","95.41633","101.40113","94.24357","104.32290","106.14175","108.07049","107.61898"
"Mato Grosso do Sul","102.73379","89.82885","79.70892","74.32122","78.99730","96.06534","115.09997","124.40681","115.71333","127.31835","118.28414","113.82610","99.95338","82.15813","74.37550","72.60482","84.94312","82.63165","98.21712","92.33660","102.84543","100.72998","100.56841","93.54724"
"Mato Grosso","98.35465","95.36355","97.97392","89.30458","90.67623","96.80472","122.43035","121.94377","135.31995","133.11306","121.10107","125.52519","116.48171","105.02543","99.42109","93.41520","96.46316","95.40853","107.74103","107.85528","115.79831","116.15185","104.57210","115.25483"
"Goiás","106.22496","95.30004","88.18260","86.05855","88.84654","94.00826","120.00371","118.76778","128.33909","132.41457","132.45535","120.42528","104.16395","92.80697","88.38682","87.26602","87.94206","98.32774","122.11716","119.63393","131.38256","136.01919","137.61004","134.46057"
"Fonte: IBGE - Pesquisa Industrial Mensal - Produção Física"

""
"Legenda"
"Símbolo","Significado"
"-","Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0","Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X","Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..","Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...","Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
