"Tabela 8880 - Índice e variação da receita nominal e do volume de vendas no comércio varejista (2022 = 100)"
"Variável - PMC - Número-índice (2022=100) (Número-índice)"
"Unidade da Federação","Mês x Tipos de índice"
"Unidade da Federação","novembro 2023","dezembro 2023","janeiro 2024","fevereiro 2024","março 2024","abril 2024","maio 2024","junho 2024","julho 2024","agosto 2024","setembro 2024","outubro 2024","novembro 2024","dezembro 2024","janeiro 2025","fevereiro 2025","março 2025","abril 2025","maio 2025","junho 2025","julho 2025","agosto 2025","setembro 2025","outubro 2025"
"Unidade da Federação","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista","Índice de volume de vendas no comércio varejista"
"Rondônia","116.87983","124.55386","91.20026","87.83500","94.51666","97.28460","106.86380","100.22918","105.34356","102.01925","96.95968","101.91503","122.35030","119.99105","89.66688","92.27258","98.07139","104.20257","111.66692","101.75847","105.80072","100.52337","99.58078","106.77152"
"Acre","115.46044","125.46972","101.19788","96.84338","105.03144","105.64871","113.16310","105.64890","111.75392","110.51178","106.30415","112.58401","124.02372","127.91120","102.90440","98.28376","107.51158","108.02712","117.05046","107.65166","114.49823","113.81622","108.60572","114.31356"
"Amazonas","114.33360","130.81622","96.53180","93.14684","103.71136","100.02594","109.71303","103.51444","108.07147","110.55353","106.57600","109.83079","123.69512","131.10375","99.82675","100.31826","101.84194","102.32464","109.88676","104.87471","108.57488","111.15296","105.78180","108.46134"
"Roraima","104.88283","122.86133","101.79065","98.10312","105.49683","106.91969","107.11264","100.15208","104.77810","109.98050","108.46017","119.10339","120.56653","125.85037","97.25016","94.38442","102.03307","102.20695","107.84803","100.86484","108.19447","107.17135","102.93230","108.50877"
"Pará","107.96942","127.96670","97.32166","97.28902","100.26775","96.59590","104.78115","99.27784","103.24864","110.90149","101.54379","109.12541","114.20427","127.96471","99.38287","93.17939","99.36667","102.31522","108.01140","99.40168","104.71081","109.91377","99.35471","108.30527"
"Amapá","109.10958","138.37549","104.06516","102.16246","109.25307","113.22529","124.98981","121.00077","125.11222","125.11169","111.22568","119.06706","127.33457","136.59465","118.85535","112.04905","119.79040","122.14188","130.86713","123.33363","136.55118","127.18424","122.33005","131.06571"
"Tocantins","117.60032","131.14248","107.91200","105.67166","115.94327","116.18609","126.28398","118.31895","134.62741","128.86945","116.25327","121.98938","125.98768","134.64365","116.49302","109.62248","113.78641","116.11412","119.30138","110.64068","118.78954","116.99048","115.79369","121.56799"
"Maranhão","119.35161","134.67754","108.69191","108.38469","112.44936","109.01430","122.34100","113.37645","115.44239","125.41493","108.91405","117.14841","123.81699","129.78740","109.50910","111.13600","110.98075","112.91804","122.03280","114.48592","117.81841","130.60670","111.84127","117.71610"
"Piauí","104.85306","118.62467","100.59520","92.60834","96.76249","101.19622","106.38010","102.51498","107.01708","109.90285","105.74205","109.92030","113.25169","122.88890","103.70157","96.70082","103.94422","106.09357","111.04493","100.40963","105.62754","105.24679","100.03449","105.38535"
