"Tabela 5906 - Índice e variação da receita nominal e do volume de serviços (2022 = 100)"
"Variável - PMS - Número-índice (2022=100) (Número-índice)"
"Unidade da Federação","Mês x Tipos de índice"
"Unidade da Federação","novembro 2023","dezembro 2023","janeiro 2024","fevereiro 2024","março 2024","abril 2024","maio 2024","junho 2024","julho 2024","agosto 2024","setembro 2024","outubro 2024","novembro 2024","dezembro 2024","janeiro 2025","fevereiro 2025","março 2025","abril 2025","maio 2025","junho 2025","julho 2025","agosto 2025","setembro 2025","outubro 2025"
"Unidade da Federação","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços","Índice de volume de serviços"
"Rondônia","93.15433","111.92426","106.77377","113.60879","116.75979","115.74702","114.56194","119.18300","117.63789","106.79159","82.73221","85.17051","97.51633","113.02308","89.71283","122.80107","122.36041","108.23741","114.14680","109.53627","126.92493","120.96563","105.91504","99.20430"
"Acre","104.44966","122.90598","101.62395","112.37412","104.95559","104.49986","98.96589","108.17858","109.28699","107.64603","108.18951","103.51723","107.02921","126.29839","86.47193","101.39689","110.48301","103.66177","104.63923","100.00964","113.58617","100.35825","95.67015","107.42874"
"Amazonas","100.32450","105.73315","106.41237","103.93091","103.21261","107.52382","108.51118","106.35431","108.77870","115.41424","124.91317","119.66837","116.44390","121.05479","98.15760","110.69326","109.04267","111.45793","114.25897","111.72916","107.54857","113.42848","114.88509","113.43292"
"Roraima","96.92383","108.10117","88.42175","90.49003","99.94793","98.06927","89.34708","99.36098","99.21626","100.31566","101.55216","104.90590","104.55642","119.26426","86.38089","84.46485","91.80275","95.97103","99.83789","96.97309","102.38535","103.89999","107.53342","105.46063"
"Pará","103.81284","109.10503","96.16566","100.10091","103.64358","105.08624","108.01480","108.50775","115.80333","111.23266","107.64690","109.33153","102.22372","112.56564","93.67966","101.87728","103.66063","104.70605","108.50736","108.23977","113.49990","113.66485","112.55837","112.97459"
"Amapá","98.33498","107.88666","94.43076","94.70157","96.59266","97.74480","103.45436","104.48560","103.52402","104.45593","105.95390","111.04508","118.01907","126.95918","94.51097","101.05122","97.74168","98.53295","105.79578","107.65259","104.45052","112.49744","112.32809","110.57294"
"Tocantins","100.73740","87.57833","70.89814","102.17629","145.57100","109.76882","134.32073","128.30876","130.61658","131.35420","123.86462","124.09302","106.40518","85.50857","68.80712","114.06639","154.98612","144.24095","126.85226","134.77380","126.18996","134.65785","133.19986","113.63162"
"Maranhão","102.17895","105.00214","98.98842","94.79506","102.27576","115.93513","110.29794","112.95930","122.58460","120.95637","115.50932","116.09437","107.49376","110.36141","97.66725","100.59813","107.86839","116.71899","120.85848","118.66246","126.50796","121.71663","118.05760","117.45372"
"Piauí","105.21016","112.81676","101.43104","94.71098","104.69444","107.60463","111.61749","112.54584","115.30715","114.53246","129.93790","107.14138","106.11843","107.25906","99.97273","96.95328","103.19940","105.22404","110.02062","107.96478","112.35869","117.98249","106.69179","115.26096"
"Ceará","106.17325","112.70717","104.75088","94.31676","96.78188","100.16737","102.47026","102.59967","109.48917","109.16950","104.46530","110.61876","107.57402","112.25123","105.88891","102.26985","102.27368","105.22001","105.23137","105.55449","109.86498","110.47649","108.32155","111.85131"
"Rio Grande do Norte","99.64635","114.69980","107.78026","100.35385","99.27115","103.84161","107.35250","103.67422","116.92784","112.46867","108.62858","119.23984","113.02584","127.59456","113.65426","108.49804","109.75529","107.53525","112.16071","109.12748","110.96844","114.02451","115.43844","119.00096"
"Paraíba","104.22846","117.64352","115.54095","106.37663","105.71966","105.36525","108.68191","112.85642","120.68177","115.49937","110.39813","120.44833","115.07359","122.23860","116.34229","115.69615","113.73135","114.97777","116.34636","118.63076","127.44527","115.07708","117.88498","125.87046"
"Pernambuco","103.31895","110.82353","101.33773","98.09294","107.34792","103.87465","105.56794","105.51341","112.46793","108.86911","106.30028","111.35727","106.90614","119.51973","101.60496","101.49294","102.53198","106.83223","104.85535","104.09574","111.14160","107.54876","108.42221","111.28449"
"Alagoas","98.37056","112.38824","119.73606","103.13359","102.09393","101.80740","99.44861","95.49645","112.13398","100.71866","101.92344","106.83086","110.42645","117.16768","118.48393","109.74454","108.89396","104.76361","105.94256","95.83852","110.06622","104.51550","102.33873","106.56106"
"Sergipe","104.09847","122.26732","110.68952","100.50787","108.33526","108.48888","109.14605","113.64697","121.67479","115.30290","114.66653","119.86982","116.42315","126.52159","117.03072","112.44130","112.84617","116.07102","117.24603","114.06561","117.35143","124.21419","121.35023","123.73533"
"Bahia","107.71587","116.96564","108.81197","99.60235","106.19374","106.66161","104.96999","104.09936","110.01505","111.61832","106.04642","112.53913","109.77673","114.82234","110.06113","101.70841","110.39842","104.14404","104.14335","101.29922","107.16022","104.35296","106.33784","109.33744"
"Minas Gerais","109.77509","112.36608","102.56041","100.20863","108.11317","109.58439","110.16050","110.02269","115.94336","113.86411","111.74154","114.41563","110.50848","117.03737","103.72261","103.11665","107.20171","108.13633","112.94878","109.79662","113.73118","111.95167","113.67824","113.63329"
"Espírito Santo","109.10477","113.98393","106.32735","99.46828","108.73015","112.46850","111.89212","117.04030","117.84847","118.66712","116.17471","117.53463","113.26129","124.69668","107.66102","100.52997","109.70695","109.13959","113.30998","117.36426","118.53263","116.71073","118.55269","124.43982"
"Rio de Janeiro","107.04343","111.43484","102.78430","98.08342","109.32500","102.93590","104.06654","108.98222","109.37967","107.21879","112.01882","107.11091","107.83605","119.25967","106.53414","103.51599","108.69047","103.90003","106.88071","109.51437","105.44655","107.11232","112.67469","112.37373"
"São Paulo","104.31302","111.80716","98.95586","92.97348","101.46176","100.33358","100.75049","103.16072","104.67048","105.33899","104.89886","109.04664","108.36384","115.43899","102.09191","98.47044","103.98156","103.32705","106.93616","107.50102","110.99650","109.49101","111.27346","112.25141"
"Paraná","115.36519","116.47205","112.70528","105.80121","112.28944","112.33603","113.57354","116.16396","119.72673","119.98156","119.69560","123.60619","117.87142","119.02213","111.39237","110.64156","114.38570","113.78120","118.02887","119.04207","126.08446","123.56958","121.63859","124.48248"
"Santa Catarina","111.13071","119.50108","114.22922","107.75707","112.60073","111.39976","111.45468","111.16328","117.78772","115.76959","116.09028","121.26401","120.36652","121.81676","118.72349","113.61764","118.77161","117.41267","118.19740","114.32389","120.58406","120.18252","118.38133","122.03495"
"Rio Grande do Sul","102.71374","107.57878","99.00836","101.15537","99.20948","99.90310","101.28506","88.14460","91.19994","91.50014","91.27740","100.70336","95.98488","99.78546","90.26998","85.33024","87.77779","91.22677","92.19384","92.38947","93.58375","94.76807","97.03515","96.95808"
"Mato Grosso do Sul","102.20329","102.87158","93.52758","95.07151","94.43995","94.11932","98.09260","100.98283","102.83957","103.98383","99.72204","99.03818","95.10787","94.03228","88.48823","92.29522","105.36574","99.63341","101.56632","103.61774","117.01257","117.98463","103.85849","107.40552"
"Mato Grosso","109.69632","105.52264","95.96551","104.22403","99.28186","101.16039","114.26641","110.35267","118.69201","116.04554","108.32621","111.15457","97.03563","81.06798","71.57151","116.88554","108.05868","107.12660","120.07652","118.85975","125.94267","120.82073","117.37965","108.01649"
"Goiás","101.84747","106.24807","98.21229","98.51028","103.24230","104.63441","107.97197","109.13552","113.42141","108.74603","106.19388","107.95505","101.36478","106.69797","99.90685","102.89695","109.75739","106.19619","111.52217","107.40920","117.44619","113.69775","109.46865","108.57018"
